CATEGORY,CLEANED,GENDER
Navy_Midshipmen_men's_soccer,navy midshipmen men 's soccer,M
1999_in_Israeli_women's_sport,1999 in israeli women 's sport,W
2000_in_Israeli_women's_sport,2000 in israeli women 's sport,W
2001_in_Israeli_women's_sport,2001 in israeli women 's sport,W
2002_in_Israeli_women's_sport,2002 in israeli women 's sport,W
2003_in_Israeli_women's_sport,2003 in israeli women 's sport,W
2004_in_Israeli_women's_sport,2004 in israeli women 's sport,W
2005_in_Israeli_women's_sport,2005 in israeli women 's sport,W
2006_in_Israeli_women's_sport,2006 in israeli women 's sport,W
2007_in_Israeli_women's_sport,2007 in israeli women 's sport,W
1998_in_Israeli_women's_sport,1998 in israeli women 's sport,W
Women's_national_sports_teams_of_Israel,women 's national sports teams of israel,W
Seasons_in_Norwegian_women's_football,seasons in norwegian women 's football,W
Top_level_Norwegian_women's_football_league_seasons,top level norwegian women 's football league seasons,W
Armenian_female_dancers,armenian female dancers,W
New_Zealand_male_dancers,new zealand male dancers,M
2000–01_domestic_women's_association_football_leagues,2000 01 domestic women 's association football leagues,W
2001_in_American_women's_soccer,2001 in american women 's soccer,W
Women's_football_competitions_in_Finland,women 's football competitions in finland,W
Women's_sports_leagues_in_Finland,women 's sports leagues in finland,W
Chinese_male_stage_actors,chinese male stage actors,M
Women_in_war_in_Norway,women in war in norway,W
Male_actors_of_Filipino_descent,male actors of filipino descent,M
Danish_male_dancers,danish male dancers,M
New_Zealand_women's_national_football_team,new zealand women 's national football team,W
Male_marathon_runners,male marathon runners,M
Seasons_in_Tuvaluan_women's_football,seasons in tuvaluan women 's football,W
Tuvalu_A-Division_(women),tuvalu a division ( women ) ,W
Women's_association_football_leagues_in_Oceania,women 's association football leagues in oceania,W
Women's_football_competitions_in_Tuvalu,women 's football competitions in tuvalu,W
Women's_sports_leagues_in_Tuvalu,women 's sports leagues in tuvalu,W
Inflammatory_diseases_of_female_pelvic_organs,inflammatory diseases of female pelvic organs,W
Women's_association_football_competitions_in_Oceania,women 's association football competitions in oceania,W
Women's_sports_competitions_in_Tuvalu,women 's sports competitions in tuvalu,W
Women_mathematicians,women mathematicians,W
Jamaican_women_in_politics,jamaican women in politics,W
1981_NCAA_Division_I_men's_soccer_season,1981 ncaa division i men 's soccer season,M
American_college_men's_soccer_team_navigational_boxes_by_team,american college men 's soccer team navigational boxes by team,M
2000_NCAA_Division_I_men's_soccer_season,2000 ncaa division i men 's soccer season,M
Imperial_Russian_male_dancers,imperial russian male dancers,M
Russian_male_ballet_dancers,russian male ballet dancers,M
Chinese_male_badminton_players,chinese male badminton players,M
Chinese_female_badminton_players,chinese female badminton players,W
1984_NCAA_Division_I_men's_soccer_season,1984 ncaa division i men 's soccer season,M
Female_badminton_players,female badminton players,W
Women's_handball_in_South_Korea,women 's handball in south korea,W
1987_NCAA_Division_I_men's_soccer_season,1987 ncaa division i men 's soccer season,M
1989_NCAA_Division_I_men's_soccer_season,1989 ncaa division i men 's soccer season,M
Asian_women's_national_futsal_teams,asian women 's national futsal teams,W
Women's_futsal_in_Malaysia,women 's futsal in malaysia,W
Women's_national_sports_teams_of_Malaysia,women 's national sports teams of malaysia,W
British_male_badminton_players,british male badminton players,M
British_female_badminton_players,british female badminton players,W
Scottish_male_dancers,scottish male dancers,M
Louisville_Cardinals_women's_soccer,louisville cardinals women 's soccer,W
Louisville_Cardinals_women's_golf,louisville cardinals women 's golf,W
2014–15_in_European_women's_basketball,2014 15 in european women 's basketball,W
EuroBasket_Women,eurobasket women,W
International_women's_basketball_competitions_hosted_by_Hungary,international women 's basketball competitions hosted by hungary,W
International_women's_basketball_competitions_hosted_by_Romania,international women 's basketball competitions hosted by romania,W
Greenlandic_Men's_Football_Championship,greenlandic men 's football championship,M
Women's_field_hockey_in_South_Korea,women 's field hockey in south korea,W
Mexican_male_dancers,mexican male dancers,M
Argentine_male_dancers,argentine male dancers,M
Belgian_male_dancers,belgian male dancers,M
Cuban_male_dancers,cuban male dancers,M
Chilean_female_dancers,chilean female dancers,W
Chilean_male_dancers,chilean male dancers,M
South_African_male_dancers,south african male dancers,M
Red_River_Athletic_Conference_men's_basketball,red river athletic conference men 's basketball,M
Costa_Rican_male_cyclists,costa rican male cyclists,M
Belarusian_male_cyclists,belarusian male cyclists,M
Lithuanian_male_cyclists,lithuanian male cyclists,M
Slovenian_male_cyclists,slovenian male cyclists,M
Dutch_male_dancers,dutch male dancers,M
Male_rugby_sevens_players,male rugby sevens players,M
Pakistani_female_dancers,pakistani female dancers,W
Nations_at_the_Men's_Olympic_Football_Tournament,nations at the men 's olympic football tournament,M
Women's_National_Basketball_Association_statistics,women 's national basketball association statistics,W
Greek_male_dancers,greek male dancers,M
Irish_male_dancers,irish male dancers,M
WikiProject_Women's_Health,wikiproject women 's health,W
Women's_health_articles_by_quality,women 's health articles by quality,W
Women's_health_articles_by_importance,women 's health articles by importance,W
21st-century_Puerto_Rican_women,21st century puerto rican women,W
20th-century_Puerto_Rican_women,20th century puerto rican women,W
Central_American_women's_national_association_football_teams,central american women 's national association football teams,W
Women's_national_sports_teams_of_El_Salvador,women 's national sports teams of el salvador,W
San_Jose_State_Spartans_women's_basketball,san jose state spartans women 's basketball,W
20th-century_Bosnia_and_Herzegovina_women,20th century bosnia and herzegovina women,W
Switzerland_at_the_FIFA_Women's_World_Cup,switzerland at the fifa women 's world cup,W
Switzerland_women's_national_football_team_navigational_boxes,switzerland women 's national football team navigational boxes,W
Franklin_Grizzlies_men's_basketball,franklin grizzlies men 's basketball,M
Filipino_female_martial_artists,filipino female martial artists,W
Norwegian_male_dancers,norwegian male dancers,M
Korean_women_in_business,korean women in business,W
Women's_rugby_union_in_the_Netherlands,women 's rugby union in the netherlands,W
Women's_volleyball_in_Croatia,women 's volleyball in croatia,W
Women's_football_in_Ivory_Coast,women 's football in ivory coast,W
Ivorian_women's_footballers,ivorian women 's footballers,W
Ivory_Coast_women's_national_football_team,ivory coast women 's national football team,W
Swiss_women's_footballers,swiss women 's footballers,W
Switzerland_women's_national_football_team,switzerland women 's national football team,W
San_Diego_State_Aztecs_women's_basketball,san diego state aztecs women 's basketball,W
Thailand_at_the_FIFA_Women's_World_Cup,thailand at the fifa women 's world cup,W
Thailand_women's_national_football_team_navigational_boxes,thailand women 's national football team navigational boxes,W
Bulgarian_women's_rights_activists,bulgarian women 's rights activists,W
Australian_male_martial_artists,australian male martial artists,M
Ecuador_at_the_FIFA_Women's_World_Cup,ecuador at the fifa women 's world cup,W
Ecuador_women's_national_football_team_navigational_boxes,ecuador women 's national football team navigational boxes,W
Colombian_women's_footballers,colombian women 's footballers,W
Women's_football_in_Ecuador,women 's football in ecuador,W
Women's_football_in_Angola,women 's football in angola,W
Croatian_women_artists,croatian women artists,W
Laotian_women,laotian women,W
Women's_organisations_based_in_Myanmar,women 's organisations based in myanmar,W
Ecuador_women's_national_football_team,ecuador women 's national football team,W
Ecuadorian_women's_footballers,ecuadorian women 's footballers,W
2019_in_women's_association_football,2019 in women 's association football,W
Football_at_the_2020_Summer_Olympics_–_Women's_qualification,football at the 2020 summer olympics women 's qualification,W
Cypriot_women_artists,cypriot women artists,W
2011_in_Swedish_women's_sport,2011 in swedish women 's sport,W
Seasons_in_Swedish_women's_football,seasons in swedish women 's football,W
2012_in_Swedish_women's_sport,2012 in swedish women 's sport,W
2013_in_Swedish_women's_sport,2013 in swedish women 's sport,W
2014_in_Swedish_women's_sport,2014 in swedish women 's sport,W
2015_in_Swedish_women's_sport,2015 in swedish women 's sport,W
Countries_at_UEFA_Women's_Euro_2013,countries at uefa women 's euro 2013,W
Sweden_at_the_UEFA_Women's_Championship,sweden at the uefa women 's championship,W
Sweden_women's_football_navigational_boxes,sweden women 's football navigational boxes,W
Countries_at_the_UEFA_Women's_Championship,countries at the uefa women 's championship,W
UEFA_Women's_Championship_squad_navigational_boxes_by_nation,uefa women 's championship squad navigational boxes by nation,W
East_Timorese_women_in_politics,east timorese women in politics,W
Sweden_at_the_Women's_Olympic_Football_Tournament,sweden at the women 's olympic football tournament,W
Countries_at_the_Women's_Olympic_Football_Tournament,countries at the women 's olympic football tournament,W
2011_in_Swedish_women's_football,2011 in swedish women 's football,W
Countries_at_the_2011_FIFA_Women's_World_Cup,countries at the 2011 fifa women 's world cup,W
Countries_at_the_FIFA_Women's_World_Cup,countries at the fifa women 's world cup,W
2015_in_Swedish_women's_football,2015 in swedish women 's football,W
Countries_at_the_2015_FIFA_Women's_World_Cup,countries at the 2015 fifa women 's world cup,W
2010_in_Swedish_women's_sport,2010 in swedish women 's sport,W
2009_in_Swedish_women's_sport,2009 in swedish women 's sport,W
2008_in_Swedish_women's_sport,2008 in swedish women 's sport,W
2007_in_Swedish_women's_sport,2007 in swedish women 's sport,W
2005_in_Swedish_women's_sport,2005 in swedish women 's sport,W
2004_in_Swedish_women's_sport,2004 in swedish women 's sport,W
2003_in_Swedish_women's_sport,2003 in swedish women 's sport,W
2001_in_Swedish_women's_sport,2001 in swedish women 's sport,W
2000_in_Swedish_women's_sport,2000 in swedish women 's sport,W
1999_in_Swedish_women's_sport,1999 in swedish women 's sport,W
2002_in_Swedish_women's_sport,2002 in swedish women 's sport,W
2003_in_Swedish_women's_football,2003 in swedish women 's football,W
Countries_at_the_2003_FIFA_Women's_World_Cup,countries at the 2003 fifa women 's world cup,W
2002–03_in_German_women's_football,2002 03 in german women 's football,W
Germany_women's_football_templates,germany women 's football templates,W
Violence_against_women_in_South_America,violence against women in south america,W
2007–08_in_German_women's_football,2007 08 in german women 's football,W
Countries_at_the_2007_FIFA_Women's_World_Cup,countries at the 2007 fifa women 's world cup,W
2007_in_Brazilian_women's_football,2007 in brazilian women 's football,W
2007_in_Swedish_women's_football,2007 in swedish women 's football,W
2014–15_in_German_women's_football,2014 15 in german women 's football,W
2008_in_Israeli_women's_sport,2008 in israeli women 's sport,W
2009_in_Israeli_women's_sport,2009 in israeli women 's sport,W
2010_in_Israeli_women's_sport,2010 in israeli women 's sport,W
2011_in_Israeli_women's_sport,2011 in israeli women 's sport,W
2012_in_Israeli_women's_sport,2012 in israeli women 's sport,W
2013_in_Israeli_women's_sport,2013 in israeli women 's sport,W
2014_in_Israeli_women's_sport,2014 in israeli women 's sport,W
2016_in_Israeli_women's_sport,2016 in israeli women 's sport,W
South_Florida_Bulls_women's_soccer,south florida bulls women 's soccer,W
Mississippi_State_Bulldogs_women's_soccer,mississippi state bulldogs women 's soccer,W
2012_in_Japanese_women's_sport,2012 in japanese women 's sport,W
2013_in_Japanese_women's_sport,2013 in japanese women 's sport,W
2014_in_Japanese_women's_sport,2014 in japanese women 's sport,W
2015_in_Japanese_women's_sport,2015 in japanese women 's sport,W
2011_in_Japanese_women's_football,2011 in japanese women 's football,W
High_Point_Panthers_women's_basketball,high point panthers women 's basketball,W
Japan_at_the_Women's_Olympic_Football_Tournament,japan at the women 's olympic football tournament,W
2012_in_Japanese_women's_football,2012 in japanese women 's football,W
2015_in_Japanese_women's_football,2015 in japanese women 's football,W
2011_in_Japanese_women's_sport,2011 in japanese women 's sport,W
2007_in_Japanese_women's_football,2007 in japanese women 's football,W
Palestinian_women_in_politics,palestinian women in politics,W
Estonian_women_in_politics,estonian women in politics,W
2009_in_Japanese_women's_sport,2009 in japanese women 's sport,W
2008_in_Japanese_women's_sport,2008 in japanese women 's sport,W
2007_in_Japanese_women's_sport,2007 in japanese women 's sport,W
2005_in_Japanese_women's_sport,2005 in japanese women 's sport,W
2004_in_Japanese_women's_sport,2004 in japanese women 's sport,W
2003_in_Japanese_women's_sport,2003 in japanese women 's sport,W
2002_in_Japanese_women's_sport,2002 in japanese women 's sport,W
2001_in_Japanese_women's_sport,2001 in japanese women 's sport,W
2000_in_Japanese_women's_sport,2000 in japanese women 's sport,W
Women's_footballers_in_Austria_by_club,women 's footballers in austria by club,W
Austria_women's_national_football_team,austria women 's national football team,W
Austrian_women's_footballers,austrian women 's footballers,W
AFC_Women's_Asian_Cup_tournaments,afc women 's asian cup tournaments,W
Women's_football_competitions_in_China,women 's football competitions in china,W
2013–14_in_Australian_women's_soccer,2013 14 in australian women 's soccer,W
2014_in_Japanese_women's_football,2014 in japanese women 's football,W
21st-century_Bosnia_and_Herzegovina_women,21st century bosnia and herzegovina women,W
Lists_of_women's_association_football_players,lists of women 's association football players,W
2007_United_States_women's_national_soccer_team,2007 united states women 's national soccer team,W
Countries_at_the_1999_FIFA_Women's_World_Cup,countries at the 1999 fifa women 's world cup,W
1995_in_American_women's_soccer,1995 in american women 's soccer,W
Countries_at_the_1995_FIFA_Women's_World_Cup,countries at the 1995 fifa women 's world cup,W
1991_in_American_women's_soccer,1991 in american women 's soccer,W
Countries_at_the_1991_FIFA_Women's_World_Cup,countries at the 1991 fifa women 's world cup,W
1991_in_American_women's_sports,1991 in american women 's sports,W
1998_in_Swedish_women's_sport,1998 in swedish women 's sport,W
1989–90_in_women's_association_football_by_country,1989 90 in women 's association football by country,W
1990_in_American_women's_sports,1990 in american women 's sports,W
1992_in_American_women's_sports,1992 in american women 's sports,W
Women's_soccer_cup_competitions_in_the_United_States,women 's soccer cup competitions in the united states,W
United_States_at_the_Women's_Olympic_Football_Tournament,united states at the women 's olympic football tournament,W
2012_United_States_women's_national_soccer_team,2012 united states women 's national soccer team,W
2007_in_American_women's_soccer,2007 in american women 's soccer,W
United_States_women's_national_soccer_team_seasons,united states women 's national soccer team seasons,W
1984–85_in_women's_association_football_by_country,1984 85 in women 's association football by country,W
1985_in_American_women's_sports,1985 in american women 's sports,W
1985–86_in_women's_association_football_by_country,1985 86 in women 's association football by country,W
Vietnamese_women_artists,vietnamese women artists,W
19th-century_Romanian_women,19th century romanian women,W
Armenian_male_actors_by_medium,armenian male actors by medium,M
Armenian_male_actors,armenian male actors,M
19th-century_male_musicians,19th century male musicians,M
Argentina_women's_national_football_team,argentina women 's national football team,W
Argentine_women's_footballers,argentine women 's footballers,W
Cameroon_women's_national_football_team,cameroon women 's national football team,W
Cameroonian_women's_footballers,cameroonian women 's footballers,W
Taiwanese_women's_footballers,taiwanese women 's footballers,W
Lebanese_female_singers,lebanese female singers,W
Namibian_female_singers,namibian female singers,W
Mongolian_female_singers,mongolian female singers,W
Icelandic_female_singers,icelandic female singers,W
Burmese_female_singers,burmese female singers,W
Singaporean_female_singers,singaporean female singers,W
Thai_female_singers,thai female singers,W
Indian_female_pop_singers,indian female pop singers,W
Ethiopian_female_singers,ethiopian female singers,W
Ugandan_female_singers,ugandan female singers,W
Jamaican_female_singers,jamaican female singers,W
Chinese_women's_footballers,chinese women 's footballers,W
Women's_basketball_competitions_in_Yugoslavia,women 's basketball competitions in yugoslavia,W
Albanian_women_by_century,albanian women by century,W
21st-century_women_by_nationality,21st century women by nationality,W
Bosnia_and_Herzegovina_women_in_politics,bosnia and herzegovina women in politics,W
Liberian_women_in_politics,liberian women in politics,W
Kosovan_women_in_politics,kosovan women in politics,W
Belizean_women_in_politics,belizean women in politics,W
Greenlandic_women_in_politics,greenlandic women in politics,W
Moroccan_women_in_politics,moroccan women in politics,W
Sri_Lankan_women_in_politics,sri lankan women in politics,W
Salvadoran_women_in_politics,salvadoran women in politics,W
Whitworth_Pirates_men's_basketball,whitworth pirates men 's basketball,M
Women's_footballers_in_Chile,women 's footballers in chile,W
Women's_International_League_for_Peace_and_Freedom,women 's international league for peace and freedom,W
20th-century_Luxembourgian_women,20th century luxembourgian women,W
2015_in_women's_handball,2015 in women 's handball,W
Women's_EHF_Champions_League,women 's ehf champions league,W
Dominican_Republic_female_athletes,dominican republic female athletes,W
Greek_female_athletes,greek female athletes,W
Jamaican_female_athletes,jamaican female athletes,W
Polish_female_athletes,polish female athletes,W
Iranian_female_athletes_(track_and_field),iranian female athletes ( track and field ) ,W
Thai_female_athletes,thai female athletes,W
Australian_female_athletes,australian female athletes,W
South_African_female_athletes,south african female athletes,W
Cuban_female_athletes,cuban female athletes,W
British_female_athletes,british female athletes,W
Brazilian_female_athletes,brazilian female athletes,W
Vietnamese_female_athletes,vietnamese female athletes,W
Irish_female_athletes,irish female athletes,W
Argentine_female_athletes,argentine female athletes,W
Hungarian_female_athletes,hungarian female athletes,W
Estonian_female_athletes,estonian female athletes,W
Japanese_female_athletes,japanese female athletes,W
Cypriot_female_athletes,cypriot female athletes,W
Czech_female_athletes,czech female athletes,W
Soviet_female_athletes,soviet female athletes,W
Seychellois_female_athletes,seychellois female athletes,W
Swiss_female_skiers,swiss female skiers,W
Spanish_female_skiers,spanish female skiers,W
Women's_volleyball_in_Vietnam,women 's volleyball in vietnam,W
2015_NCAA_Division_I_women's_volleyball_season,2015 ncaa division i women 's volleyball season,W
2015–16_in_European_women's_basketball_leagues,2015 16 in european women 's basketball leagues,W
21st-century_Luxembourgian_women,21st century luxembourgian women,W
2011_in_Norwegian_women's_sport,2011 in norwegian women 's sport,W
2012_in_Norwegian_women's_sport,2012 in norwegian women 's sport,W
2013_in_Norwegian_women's_sport,2013 in norwegian women 's sport,W
2014_in_Norwegian_women's_sport,2014 in norwegian women 's sport,W
2015_in_Norwegian_women's_sport,2015 in norwegian women 's sport,W
Norway_women's_football_templates,norway women 's football templates,W
Norway_at_the_UEFA_Women's_Championship,norway at the uefa women 's championship,W
2013_in_Norwegian_women's_football,2013 in norwegian women 's football,W
Norway_at_the_Women's_Olympic_Football_Tournament,norway at the women 's olympic football tournament,W
Men's_sports_teams_in_Canada,men 's sports teams in canada,M
2015_in_Norwegian_women's_football,2015 in norwegian women 's football,W
2010_in_Norwegian_women's_sport,2010 in norwegian women 's sport,W
2009_in_Norwegian_women's_sport,2009 in norwegian women 's sport,W
2008_in_Norwegian_women's_sport,2008 in norwegian women 's sport,W
2007_in_Norwegian_women's_sport,2007 in norwegian women 's sport,W
2006_in_Norwegian_women's_sport,2006 in norwegian women 's sport,W
2005_in_Norwegian_women's_sport,2005 in norwegian women 's sport,W
2004_in_Norwegian_women's_sport,2004 in norwegian women 's sport,W
2003_in_Norwegian_women's_sport,2003 in norwegian women 's sport,W
2002_in_Norwegian_women's_sport,2002 in norwegian women 's sport,W
2001_in_Norwegian_women's_sport,2001 in norwegian women 's sport,W
2000_in_Norwegian_women's_sport,2000 in norwegian women 's sport,W
1999_in_Norwegian_women's_sport,1999 in norwegian women 's sport,W
1998_in_Norwegian_women's_sport,1998 in norwegian women 's sport,W
1997_in_Norwegian_women's_sport,1997 in norwegian women 's sport,W
1996_in_Norwegian_women's_sport,1996 in norwegian women 's sport,W
1995_in_Norwegian_women's_sport,1995 in norwegian women 's sport,W
1994_in_Norwegian_women's_sport,1994 in norwegian women 's sport,W
1993_in_Norwegian_women's_sport,1993 in norwegian women 's sport,W
1992_in_Norwegian_women's_sport,1992 in norwegian women 's sport,W
1991_in_Norwegian_women's_sport,1991 in norwegian women 's sport,W
1991_in_Norwegian_women's_football,1991 in norwegian women 's football,W
1995_in_Norwegian_women's_football,1995 in norwegian women 's football,W
2003_in_Norwegian_women's_football,2003 in norwegian women 's football,W
2007_in_Norwegian_women's_football,2007 in norwegian women 's football,W
1990_in_women's_sport_by_country,1990 in women 's sport by country,W
1991_in_women's_sport_by_country,1991 in women 's sport by country,W
Seasons_in_women's_association_football_by_country,seasons in women 's association football by country,W
1992_in_women's_sport_by_country,1992 in women 's sport by country,W
1993_in_women's_sport_by_country,1993 in women 's sport by country,W
1994_in_women's_sport_by_country,1994 in women 's sport by country,W
1995_in_women's_sport_by_country,1995 in women 's sport by country,W
1996_in_women's_sport_by_country,1996 in women 's sport by country,W
1997_in_women's_sport_by_country,1997 in women 's sport by country,W
1998_in_women's_sport_by_country,1998 in women 's sport by country,W
1999_in_women's_sport_by_country,1999 in women 's sport by country,W
2000_in_women's_sport_by_country,2000 in women 's sport by country,W
2001_in_women's_sport_by_country,2001 in women 's sport by country,W
2002_in_women's_sport_by_country,2002 in women 's sport by country,W
2003_in_women's_sport_by_country,2003 in women 's sport by country,W
2004_in_women's_sport_by_country,2004 in women 's sport by country,W
2005_in_women's_sport_by_country,2005 in women 's sport by country,W
2006_in_women's_sport_by_country,2006 in women 's sport by country,W
2007_in_women's_sport_by_country,2007 in women 's sport by country,W
2008_in_women's_sport_by_country,2008 in women 's sport by country,W
2009_in_women's_sport_by_country,2009 in women 's sport by country,W
2010_in_women's_sport_by_country,2010 in women 's sport by country,W
2011_in_women's_sport_by_country,2011 in women 's sport by country,W
2012_in_women's_sport_by_country,2012 in women 's sport by country,W
2013_in_women's_sport_by_country,2013 in women 's sport by country,W
2014_in_women's_sport_by_country,2014 in women 's sport by country,W
2015_in_women's_sport_by_country,2015 in women 's sport by country,W
2013–14_in_German_women's_football,2013 14 in german women 's football,W
Germany_at_the_UEFA_Women's_Championship,germany at the uefa women 's championship,W
England_women's_football_navigational_boxes,england women 's football navigational boxes,W
England_at_the_UEFA_Women's_Championship,england at the uefa women 's championship,W
2000_in_English_women's_sport,2000 in english women 's sport,W
2001_in_English_women's_sport,2001 in english women 's sport,W
1996_in_French_women's_sport,1996 in french women 's sport,W
1997_in_French_women's_sport,1997 in french women 's sport,W
1996_in_Spanish_women's_sport,1996 in spanish women 's sport,W
1997_in_Spanish_women's_sport,1997 in spanish women 's sport,W
2000_in_French_women's_sport,2000 in french women 's sport,W
2001_in_French_women's_sport,2001 in french women 's sport,W
2004_in_French_women's_sport,2004 in french women 's sport,W
2005_in_French_women's_sport,2005 in french women 's sport,W
1997_in_Swedish_women's_sport,1997 in swedish women 's sport,W
2015_in_Scottish_women's_sport,2015 in scottish women 's sport,W
2006_in_Swedish_women's_sport,2006 in swedish women 's sport,W
2008_in_Scottish_women's_sport,2008 in scottish women 's sport,W
Women's_footballers_in_Switzerland,women 's footballers in switzerland,W
2014_African_Women's_Championship,2014 african women 's championship,W
Africa_Women_Cup_of_Nations_squad_navigational_boxes_by_competition,africa women cup of nations squad navigational boxes by competition,W
Africa_Women_Cup_of_Nations,africa women cup of nations,W
Cameroon_women's_national_football_team_navigational_boxes,cameroon women 's national football team navigational boxes,W
South_Africa_women's_national_football_team_navigational_boxes,south africa women 's national football team navigational boxes,W
2012_African_Women's_Championship,2012 african women 's championship,W
2010_African_Women's_Championship,2010 african women 's championship,W
2008_African_Women's_Championship,2008 african women 's championship,W
2007–08_in_English_women's_football,2007 08 in english women 's football,W
2010–11_in_English_women's_football,2010 11 in english women 's football,W
1994_in_English_women's_sport,1994 in english women 's sport,W
1995_in_English_women's_sport,1995 in english women 's sport,W
1995_in_Swedish_women's_sport,1995 in swedish women 's sport,W
2013–14_in_English_women's_football,2013 14 in english women 's football,W
Chinese_male_sport_shooters,chinese male sport shooters,M
Chinese_female_sport_shooters,chinese female sport shooters,W
2007_in_French_women's_sport,2007 in french women 's sport,W
2006_in_French_women's_sport,2006 in french women 's sport,W
1973_Women's_Cricket_World_Cup,1973 women 's cricket world cup,W
1982_Women's_Cricket_World_Cup,1982 women 's cricket world cup,W
2003_in_English_women's_sport,2003 in english women 's sport,W
2002_in_English_women's_sport,2002 in english women 's sport,W
2016_in_German_women's_sport,2016 in german women 's sport,W
2016_in_women's_sport_by_country,2016 in women 's sport by country,W
2015–16_in_German_women's_football,2015 16 in german women 's football,W
Third_level_women's_association_football_leagues_in_Europe,third level women 's association football leagues in europe,W
Women's_soccer_competitions_in_Canada,women 's soccer competitions in canada,W
2014_in_women's_cricket,2014 in women 's cricket,W
2015_in_women's_cricket,2015 in women 's cricket,W
2016_in_women's_cricket,2016 in women 's cricket,W
ICC_Women's_Championship,icc women 's championship,W
Brazilian_male_dancers,brazilian male dancers,M
1999_in_English_women's_sport,1999 in english women 's sport,W
1991_in_English_women's_sport,1991 in english women 's sport,W
1992_in_English_women's_sport,1992 in english women 's sport,W
1993_in_English_women's_sport,1993 in english women 's sport,W
1996_in_English_women's_sport,1996 in english women 's sport,W
1997_in_English_women's_sport,1997 in english women 's sport,W
1998_in_English_women's_sport,1998 in english women 's sport,W
Male_dramatists_and_playwrights_by_nationality,male dramatists and playwrights by nationality,M
Czech_women_artists,czech women artists,W
Albanian_women_artists,albanian women artists,W
Women_philosophers,women philosophers,W
Women_artists_from_Georgia_(country),women artists from georgia ( country ) ,W
Swiss_women_artists,swiss women artists,W
Bangladeshi_women_artists,bangladeshi women artists,W
Colombian_women_artists,colombian women artists,W
Chilean_women_artists,chilean women artists,W
Brazilian_women_artists,brazilian women artists,W
Argentine_women_artists,argentine women artists,W
Polish_women_artists,polish women artists,W
Flemish_women_artists,flemish women artists,W
Belgian_women_artists,belgian women artists,W
Hungarian_women_artists,hungarian women artists,W
Austrian_women_artists,austrian women artists,W
Venezuelan_women_artists,venezuelan women artists,W
Japanese_women_artists,japanese women artists,W
Bolivian_women_artists,bolivian women artists,W
Zimbabwean_women_artists,zimbabwean women artists,W
Romanian_women_artists,romanian women artists,W
Irish_women_artists,irish women artists,W
Jewish_women_artists,jewish women artists,W
Ecuadorian_women_artists,ecuadorian women artists,W
Afghan_women_artists,afghan women artists,W
Dayton_Flyers_women's_basketball,dayton flyers women 's basketball,W
Women_cinematographers,women cinematographers,W
Women_cinematographers_by_nationality,women cinematographers by nationality,W
Tajikistani_women,tajikistani women,W
British_women_cinematographers,british women cinematographers,W
Chadian_men,chadian men,M
1994_in_Swedish_women's_sport,1994 in swedish women 's sport,W
1996_in_Swedish_women's_sport,1996 in swedish women 's sport,W
2014–15_in_Australian_women's_soccer,2014 15 in australian women 's soccer,W
2008_in_Australian_women's_sport,2008 in australian women 's sport,W
2009_in_Australian_women's_sport,2009 in australian women 's sport,W
2010_in_Australian_women's_sport,2010 in australian women 's sport,W
2011_in_Australian_women's_sport,2011 in australian women 's sport,W
2012_in_Australian_women's_sport,2012 in australian women 's sport,W
2013_in_Australian_women's_sport,2013 in australian women 's sport,W
2014_in_Australian_women's_sport,2014 in australian women 's sport,W
2015_in_Australian_women's_sport,2015 in australian women 's sport,W
2007–08_in_Australian_women's_soccer,2007 08 in australian women 's soccer,W
2003–04_in_Australian_women's_soccer,2003 04 in australian women 's soccer,W
2006_in_Brazilian_women's_sport,2006 in brazilian women 's sport,W
2016_in_Australian_women's_sport,2016 in australian women 's sport,W
2007_in_Australian_women's_sport,2007 in australian women 's sport,W
2005_in_Australian_women's_sport,2005 in australian women 's sport,W
2004_in_Australian_women's_sport,2004 in australian women 's sport,W
2003_in_Australian_women's_sport,2003 in australian women 's sport,W
2002_in_Australian_women's_sport,2002 in australian women 's sport,W
2001_in_Australian_women's_sport,2001 in australian women 's sport,W
2000_in_Australian_women's_sport,2000 in australian women 's sport,W
1999_in_Australian_women's_sport,1999 in australian women 's sport,W
1998_in_Australian_women's_sport,1998 in australian women 's sport,W
1997_in_Australian_women's_sport,1997 in australian women 's sport,W
AFC_Women's_Asian_Cup_squad_navigational_boxes_by_nation,afc women 's asian cup squad navigational boxes by nation,W
1996_in_Australian_women's_sport,1996 in australian women 's sport,W
1995_in_Australian_women's_sport,1995 in australian women 's sport,W
Paintings_of_fictional_women,paintings of fictional women,W
Cultural_depictions_of_Israeli_women,cultural depictions of israeli women,W
Patriot_League_women's_basketball_seasons,patriot league women 's basketball seasons,W
2016–17_in_European_women's_basketball,2016 17 in european women 's basketball,W
2017_in_Czech_women's_sport,2017 in czech women 's sport,W
International_women's_basketball_competitions_hosted_by_the_Czech_Republic,international women 's basketball competitions hosted by the czech republic,W
2010_in_Italian_women's_sport,2010 in italian women 's sport,W
2011_in_Italian_women's_sport,2011 in italian women 's sport,W
2012_in_Italian_women's_sport,2012 in italian women 's sport,W
2013_in_Italian_women's_sport,2013 in italian women 's sport,W
2015_in_Italian_women's_sport,2015 in italian women 's sport,W
2013–14_in_Italian_women's_football,2013 14 in italian women 's football,W
Italy_at_the_UEFA_Women's_Championship,italy at the uefa women 's championship,W
