CATEGORY,CLEANED,YEAR_ADDED,GENDER
"Choruses, Secular (Women's voices, 2 parts) with cello",secular choruses ( 2 parts women 's voices ) with cello,1986,W
"Choruses, Secular (Women's voices, 3 parts) with harp",secular choruses ( 3 parts women 's voices ) with harp,1986,W
"Choruses, Secular (Women's voices, 4 parts), Unaccompanied",secular choruses ( 4 parts women 's voices ) unaccompanied,1986,W
"Choruses, Secular (Women's voices, 4 parts) with piano",secular choruses ( 4 parts women 's voices ) with piano,1986,W
"Choruses, Secular (Women's voices) with orchestra",secular ( women 's voices ) with orchestra choruses,1986,W
"Choruses, Secular (Women's voices, 8 parts) with piano",secular choruses ( 8 parts women 's voices ) with piano,1986,W
"Choruses, Secular (Women's voices), Unaccompanied",secular choruses ( women 's voices ) unaccompanied,1986,W
"Choruses, Secular (Women's voices) with band",secular ( women 's voices ) with band choruses,1986,W
"Choruses, Secular (Women's voices) with chamber orchestra",secular ( women 's voices ) with chamber orchestra choruses,1986,W
"Choruses, Secular (Women's voices) with electronics",secular ( women 's voices ) with electronics choruses,1986,W
"Choruses, Secular (Women's voices) with instrumental ensemble",secular ( women 's voices ) with instrumental ensemble choruses,1986,W
"Choruses, Secular (Women's voices) with piano",secular ( women 's voices ) with piano choruses,1986,W
"Choruses, Secular (Women's voices) with string orchestra",secular ( women 's voices ) with string orchestra choruses,1986,W
Choruses (Men's voices),choruses ( men 's voices ),1986,M
"Choruses (Men's voices, 4 parts)",4 parts ) choruses ( men 's voices,1986,M
"Choruses (Men's voices, 4 parts), Unaccompanied",choruses ( 4 parts men 's voices ) unaccompanied,1986,M
"Choruses (Men's voices, 4 parts) with piano",4 parts ) with piano choruses ( men 's voices,1986,M
"Choruses (Men's voices), Unaccompanied",unaccompanied choruses ( men 's voices ),1986,M
Choruses (Men's voices) with piano,choruses ( men 's voices ) with piano,1986,M
Choruses (Women's voices),choruses ( women 's voices ),1986,W
"Choruses (Women's voices, 3 parts), Unaccompanied",choruses ( 3 parts women 's voices ) unaccompanied,1986,W
"Choruses (Women's voices, 3 parts) with piano",3 parts ) with piano choruses ( women 's voices,1986,W
"Choruses (Women's voices), Unaccompanied",unaccompanied choruses ( women 's voices ),1986,W
Choruses (Women's voices) with piano,choruses ( women 's voices ) with piano,1986,W
Christian women saints,christian women saints,1986,W
Church work with female juvenile delinquents,church work with female juvenile delinquents,1986,W
Church work with employed women,church work with employed women,1986,W
Church work with men,church work with men,1986,M
Church work with women,church work with women,1986,W
Churching of women,churching of women,1986,W
"Climacteric, Male",male climacteric,2000,M
Cricket for women,cricket for women,1986,W
Cytoplasmic male sterility,cytoplasmic male sterility,1986,M
Deans of women,deans of women,1986,W
Female juvenile delinquents,female juvenile delinquents,1986,W
Diving for men,diving for men,1986,M
Diving for women,diving for women,1986,W
Divorced men,divorced men,1986,M
Divorced women,divorced women,1986,W
Etiquette for men,etiquette for men,1986,M
Etiquette for women,etiquette for women,1986,W
Exercise for men,exercise for men,1986,M
Exercise for women,exercise for women,1986,W
Women explorers,women explorers,2000,W
Fascism and women,fascism and women,1986,W
Federal aid to women-owned business enterprises,federal aid to women owned business enterprises,1986,W
Federal aid to women's organizations,federal aid to women 's organizations,1986,W
Female offenders,female offenders,1986,W
Fifth Monarchy Men,fifth monarchy men,1986,M
Flag football for women,flag football for women,1986,W
Women folklorists,women folklorists,1986,W
"Generative organs, Female",female generative organs,2000,W
"Generative organs, Male",male generative organs,2000,M
Golf for women,golf for women,1986,W
Greek American women,greek american women,1986,W
Grooming for men,grooming for men,2006,M
Gymnastics for men,gymnastics for men,1986,M
Gymnastics for women,gymnastics for women,1986,W
Women with disabilities,women with disabilities,2001,W
Health education of women,health education of women,1986,W
Hispanic American women,hispanic american women,1986,W
Homeless women,homeless women,1986,W
Male homosexuality,male homosexuality,1986,M
Gay men,gay men,1986,M
Female impersonators,female impersonators,2006,W
Female impersonators in motion pictures,female impersonators in motion pictures,1986,W
Male impersonators,male impersonators,2006,M
Male impersonators in motion pictures,male impersonators in motion pictures,1986,M
"Infertility, Female",female infertility,1986,W
"Infertility, Male",male infertility,1986,M
"International Women's Year, 1975",1975 international women 's year,2000,W
Irish American women,irish american women,1986,W
Italian American women,italian american women,1986,W
Korean American women,korean american women,1986,W
Lacrosse for women,lacrosse for women,1986,W
Leopard men,leopard men,1986,M
Young Men's Christian Association libraries,young men 's christian association libraries,1986,M
Libraries and women,libraries and women,2001,W
Male (African people),male ( african people ),1986,M
Male livestock,male livestock,1986,M
Male nude in art,male nude in art,1986,M
Married women,married women,1986,W
Married women (Hindu law),married women ( hindu law ),1986,W
Married women (Ila law),married women ( ila law ),1986,W
Married women (Islamic law),married women ( islamic law ),1986,W
Married women (Jewish law),married women ( jewish law ),1986,W
Married women (Roman law),married women ( roman law ),1986,W
Mass media and women,mass media and women,1986,W
Masses (Men's voices),masses ( men 's voices ),1986,M
Masses (Women's voices),masses ( women 's voices ),1986,W
Men,men,1986,M
"Men, White",white men,2004,M
Men (Christian theology),men ( christian theology ),2005,M
Antique collecting for men,antique collecting for men,1986,M
Male consumers,male consumers,1986,M
Male dancers,male dancers,1986,M
Men in art,men in art,1986,M
Men in church work,men in church work,1986,M
Men in literature,men in literature,1986,M
Men in motion pictures,men in motion pictures,1986,M
Male nurses,male nurses,1986,M
Men's clothing,men 's clothing,2006,M
Men's clothing industry,men 's clothing industry,2003,M
Men's furnishing goods,men 's furnishing goods,1986,M
Men's shirt industry,men 's shirt industry,1986,M
Mexican American women,mexican american women,1986,W
Middle-aged men,middle aged men,2005,M
Middle-aged women,middle aged women,2005,W
Middle class women,middle class women,1986,W
Women millionaires,women millionaires,1986,W
Minority women,minority women,1986,W
Minority women college graduates,minority women college graduates,1986,W
Minority women executives,minority women executives,1986,W
Minority women in motion pictures,minority women in motion pictures,1986,W
Minority women in the professions,minority women in the professions,1986,W
Monastic and religious life of women,monastic and religious life of women,1986,W
Monasticism and religious orders for women,monasticism and religious orders for women,1986,W
Buddhist monasticism and religious orders for women,buddhist monasticism and religious orders for women,1986,W
Monasticism and religious orders for women (Canon law),monasticism and religious orders for women ( canon law ),1986,W
Muslim women saints,muslim women saints,1986,W
Occupational training for women,occupational training for women,1986,W
"Oral contraceptives, Male",male oral contraceptives,1986,M
Ordination of women,ordination of women,1986,W
Female orgasm,female orgasm,1986,W
Outdoor recreation for women,outdoor recreation for women,1986,W
Photography of men,photography of men,2004,M
Photography of women,photography of women,1986,W
Physical education for women,physical education for women,1986,W
Physical fitness for men,physical fitness for men,1986,M
Physical fitness for women,physical fitness for women,1986,W
Pregnant women,pregnant women,1986,W
Professional education of women,professional education of women,1986,W
Male prostitution,male prostitution,1986,M
Public speaking for women,public speaking for women,1986,W
Puerto Rican women,puerto rican women,2000,W
Reformatories for women,reformatories for women,1986,W
Requiems (Men's voices),requiems ( men 's voices ),1986,M
Requiems (Women's voices),requiems ( women 's voices ),1986,W
Rickshaw men,rickshaw men,1986,M
Running for women,running for women,1986,W
Rural women,rural women,1986,W
Women saints,women saints,1986,W
Sandwich men,sandwich men,1986,M
Self-defense for women,self defense for women,2001,W
Self-employed women,self employed women,2000,W
Seven wise men of Greece,seven wise men of greece,1986,M
Sex discrimination against men,sex discrimination against men,1986,M
Sex discrimination against women,sex discrimination against women,1986,W
Sex instruction for men,sex instruction for men,1986,M
Sex instruction for women,sex instruction for women,1986,W
Sexual harassment of women,sexual harassment of women,1986,W
"Shirts, Men's",men 's shirts,1986,M
Short men,short men,1986,M
Single men,single men,1986,M
Single women,single women,1986,W
Single women in literature,single women in literature,1986,W
Skiing for men,skiing for men,1986,M
Skiing for women,skiing for women,1986,W
Soccer for women,soccer for women,1986,W
Social work with women,social work with women,1986,W
Women with social disabilities,women with social disabilities,2001,W
Softball for women,softball for women,1986,W
Speedball for women,speedball for women,1986,W
Sport clothes for women,sport clothes for women,2003,W
Sports for women,sports for women,1986,W
Sterilization of women,sterilization of women,1986,W
Male striptease,male striptease,1986,M
Strong men,strong men,1986,M
Swimming for women,swimming for women,1986,W
Tailed men,tailed men,1986,M
Tailoring (Women's),tailoring ( women 's ),2003,W
Track and field for women,track and field for women,2001,W
Urban women,urban women,1986,W
Volleyball for women,volleyball for women,1986,W
Women in war,women in war,1986,W
Wild men,wild men,1986,M
Wild men in literature,wild men in literature,1986,M
Women,women,1986,W
Women (Adat law),women ( adat law ),1986,W
Women (Canon law),women ( canon law ),1986,W
Women (Greek law),women ( greek law ),1986,W
Women (Hindu law),women ( hindu law ),1986,W
Women (Islamic law),women ( islamic law ),1986,W
Women (Jewish law),women ( jewish law ),1986,W
Women (Roman law),women ( roman law ),1986,W
"Women, Ashanti",ashanti women,1986,W
"Women, Aboriginal Australian",aboriginal australian women,2003,W
"Women, Hima",hima women,1986,W
Baptist women,baptist women,1986,W
"Women, Barabaig",barabaig women,1986,W
"Women, Basa",basa women,1986,W
"Women, Bengali",bengali women,1986,W
"Women, Beti",beti women,1986,W
"Women, Black",black women,1986,W
"Women, Bobo",bobo women,1986,W
Buddhist women,buddhist women,1986,W
"Women, Daza",daza women,1986,W
Deaf women,deaf women,2001,W
"Women, Germanic",germanic women,1986,W
"Women, Hausa",hausa women,1986,W
Hindu women,hindu women,1986,W
"Women, Iatmul",iatmul women,1986,W
"Women, Igbo",igbo women,1986,W
Jaina women,jaina women,1986,W
Jewish women,jewish women,1986,W
Jewish women in literature,jewish women in literature,1986,W
"Women, Kabiye",kabiye women,2005,W
"Women, Kabyle",kabyle women,1986,W
"Women, Kamba",kamba women,1986,W
"Women, Kewa",kewa women,1986,W
"Women, Kikuyu",kikuyu women,1986,W
"Women, Lango",lango women,1986,W
"Women, Lebou",lebou women,1986,W
"Women, Limbu",limbu women,1986,W
"Women, Lushai",lushai women,1986,W
Lutheran women,lutheran women,1986,W
"Women, Magar",magar women,1986,W
"Women, Manga",manga women,1986,W
"Women, Maratha",maratha women,1986,W
"Women, Maasai",maasai women,1986,W
"Women, Mawri",mawri women,1986,W
Mennonite women,mennonite women,1986,W
Methodist women,methodist women,1986,W
Latter Day Saint women,latter day saint women,1986,W
Muslim women,muslim women,1986,W
"Women, Newar",newar women,1986,W
"Women, Palestinian Arab",palestinian arab women,1986,W
Pentecostal women,pentecostal women,1986,W
Poor women,poor women,1986,W
"Women, Prehistoric",prehistoric women,1986,W
Presbyterian women,presbyterian women,1986,W
Quaker women,quaker women,1986,W
"Women, Rendille",rendille women,2004,W
"Women, Saramacca",saramacca women,1986,W
Shaker women,shaker women,1986,W
Sikh women,sikh women,1986,W
"Women, Tanga (Africa)",tanga ( africa ) women,1986,W
"Women, Tetum",tetum women,1986,W
"Women, Tharu",tharu women,1986,W
"Women, Tiv",tiv women,1986,W
"Women, Tiwi (Australia)",tiwi ( australia ) women,2004,W
"Women, Yoruba",yoruba women,1986,W
Women in numismatics,women in numismatics,1986,W
Women (International law),women ( international law ),1986,W
Women accountants,women accountants,1986,W
Women agricultural engineers,women agricultural engineers,1986,W
Women agricultural laborers,women agricultural laborers,1986,W
Women agriculturists,women agriculturists,1986,W
Women air pilots,women air pilots,1986,W
Women aircraft industry employees,women aircraft industry employees,2000,W
Women and city planning,women and city planning,1986,W
Women and freemasonry,women and freemasonry,1986,W
Women and journalism,women and journalism,1986,W
Women and land use planning,women and land use planning,1986,W
Women and literature,women and literature,1986,W
Women and peace,women and peace,1986,W
Women and psychoanalysis,women and psychoanalysis,1986,W
Women and religion,women and religion,1986,W
Women and socialism,women and socialism,1986,W
Women and the military,women and the military,1986,W
Women and the sea,women and the sea,2002,W
Women and war,women and war,1986,W
Women animal specialists,women animal specialists,1986,W
Women archaeologists,women archaeologists,1986,W
Women architects,women architects,1986,W
Women architectural critics,women architectural critics,1986,W
Women art critics,women art critics,1986,W
Women art dealers,women art dealers,1986,W
Women art historians,women art historians,1986,W
Women art teachers,women art teachers,1986,W
Women artisans,women artisans,1986,W
Women artists,women artists,1986,W
Women book collectors,women book collectors,1986,W
Women inventors,women inventors,1986,W
Women jurors,women jurors,1986,W
Women orators,women orators,1986,W
Women astronauts,women astronauts,1986,W
Women athletes,women athletes,1986,W
Women authors,women authors,2004,W
"Women authors, American",american women authors,1986,W
"Women authors, Arab",arab women authors,1986,W
"Women authors, Austrian",austrian women authors,1986,W
"Women authors, Black",black women authors,1986,W
"Women authors, Canadian",canadian women authors,1986,W
"Women authors, Chinese",chinese women authors,1986,W
"Women authors, English",english women authors,1986,W
"Women authors, Finnish",finnish women authors,1986,W
"Women authors, French",french women authors,1986,W
"Women authors, Italian",italian women authors,1986,W
"Women authors, Japanese",japanese women authors,1986,W
"Women authors, Kannada",kannada women authors,1986,W
"Women authors, Panamanian",panamanian women authors,1986,W
"Women authors, Panjabi",panjabi women authors,1986,W
"Women authors, Scandinavian",scandinavian women authors,1986,W
"Women authors, South African",south african women authors,1986,W
"Women authors, Swedish",swedish women authors,1986,W
"Women authors, Telugu",telugu women authors,1986,W
"Women authors, West Indian",west indian women authors,1986,W
Women automobile drivers,women automobile drivers,1986,W
Women automobile industry workers,women automobile industry workers,1986,W
Women automobile racing drivers,women automobile racing drivers,1986,W
Women bank employees,women bank employees,1986,W
Women bankers,women bankers,1986,W
Women basketball players,women basketball players,1986,W
Women bodybuilders,women bodybuilders,1986,W
Women bookplate designers,women bookplate designers,1986,W
Women bookbinders,women bookbinders,1986,W
Women broadcasters,women broadcasters,2000,W
Women bullfighters,women bullfighters,1986,W
Women calligraphers,women calligraphers,1986,W
Women cannery workers,women cannery workers,2000,W
Women cartoonists,women cartoonists,1986,W
Women clergy,women clergy,2002,W
Women clerks,women clerks,1986,W
Women clerks (Retail trade),women clerks ( retail trade ),1986,W
Women clothing workers,women clothing workers,2000,W
Women coal miners,women coal miners,1986,W
Women college administrators,women college administrators,2002,W
Women college graduates,women college graduates,2002,W
Women college students,women college students,2002,W
Women college teachers,women college teachers,1986,W
Women colonial administrators,women colonial administrators,1986,W
Women colonists,women colonists,1986,W
Women comedians,women comedians,1986,W
Women composers,women composers,1986,W
Women consultants,women consultants,1986,W
Women consumers,women consumers,1986,W
Women correctional personnel,women correctional personnel,1986,W
Women cytologists,women cytologists,1986,W
Women dancers,women dancers,1986,W
Women dental students,women dental students,1986,W
Women dentists,women dentists,1986,W
Women designers,women designers,1986,W
Women detectives,women detectives,1986,W
Women diplomats,women diplomats,1986,W
Women divers,women divers,1986,W
Women household employees,women household employees,1986,W
Women dramatists,women dramatists,1986,W
"Women dramatists, American",american women dramatists,1986,W
Women drywall contractors,women drywall contractors,2004,W
Women economists,women economists,1986,W
Women educators,women educators,1986,W
Women electronic data processing personnel,women electronic data processing personnel,1986,W
Women electronic industry workers,women electronic industry workers,1986,W
Women engineers,women engineers,1986,W
Women engravers,women engravers,1986,W
Women entertainers,women entertainers,1986,W
Women ethologists,women ethologists,1986,W
Women evangelists,women evangelists,2000,W
Women executives,women executives,1986,W
Women farmers,women farmers,1986,W
Women fishers,women fishers,2006,W
Women gardeners,women gardeners,1986,W
Women geneticists,women geneticists,1986,W
Women geographers,women geographers,1986,W
Women geologists,women geologists,1986,W
Women government executives,women government executives,1986,W
Women graduate students,women graduate students,2002,W
Women guerrillas,women guerrillas,1986,W
Women heads of households,women heads of households,1986,W
Women heads of state,women heads of state,1986,W
Women healers,women healers,1986,W
Women historians,women historians,1986,W
Women hymn writers,women hymn writers,1986,W
Women immigrants,women immigrants,2003,W
Women in advertising,women in advertising,1986,W
Women in aeronautics,women in aeronautics,1986,W
Women in agriculture,women in agriculture,1986,W
Women in art,women in art,1986,W
Women in astronautics,women in astronautics,1986,W
Women in bookplates,women in bookplates,1986,W
Women in Buddhism,women in buddhism,1986,W
Women in campus ministry,women in campus ministry,1986,W
Women in charitable work,women in charitable work,1986,W
Women in chemistry,women in chemistry,1986,W
Women in Christianity,women in christianity,1986,W
Women in church work,women in church work,1986,W
Women in communication,women in communication,1986,W
Women in community development,women in community development,1986,W
Women in community organization,women in community organization,1986,W
Women in conservation of natural resources,women in conservation of natural resources,1986,W
Women in cooperative societies,women in cooperative societies,1986,W
Women in education,women in education,1986,W
Women in engineering,women in engineering,1986,W
Women in finance,women in finance,1986,W
Women in guilds,women in guilds,1986,W
Women in Hinduism,women in hinduism,1986,W
Women in horse racing,women in horse racing,1986,W
Women in horse sports,women in horse sports,1986,W
Women in information science,women in information science,1986,W
Women in Islam,women in islam,1986,W
Women in Jainism,women in jainism,1986,W
Women in journalism,women in journalism,1986,W
Women in Judaism,women in judaism,1986,W
Women in landscape architecture,women in landscape architecture,1986,W
Women in library science,women in library science,1986,W
Women in literature,women in literature,1986,W
Women in marketing,women in marketing,1986,W
Women in mass media,women in mass media,1986,W
Women in mathematics,women in mathematics,1986,W
Women in medicine,women in medicine,1986,W
Women in missionary work,women in missionary work,1986,W
Women in motion pictures,women in motion pictures,1986,W
Women in opera,women in opera,2004,W
Women in pharmacy,women in pharmacy,1986,W
Women in popular culture,women in popular culture,1986,W
Women in public life,women in public life,1986,W
Women in rabbinical literature,women in rabbinical literature,1986,W
Women in real estate,women in real estate,1986,W
Women in rodeos,women in rodeos,1986,W
Women in rural development,women in rural development,1986,W
Women in science,women in science,1986,W
Women in technology,women in technology,1986,W
Women on television,women on television,1986,W
Women in the advertising industry,women in the advertising industry,1986,W
Women in the Bible,women in the bible,1986,W
Women in the book industries and trade,women in the book industries and trade,1986,W
Women in the broadcasting industry,women in the broadcasting industry,1986,W
Women in the Catholic Church,women in the catholic church,1986,W
Women in the civil service,women in the civil service,1986,W
Women in the ecumenical movement,women in the ecumenical movement,1986,W
Women in the food industry,women in the food industry,1986,W
Women in the Hadith,women in the hadith,1986,W
Women in the Qurʼan,women in the qurʼan,1986,W
Women in the Lutheran Church,women in the lutheran church,1986,W
Women in the mass media industry,women in the mass media industry,1986,W
Women in Latter Day Saint churches,women in latter day saint churches,1986,W
Women in the motion picture industry,women in the motion picture industry,1986,W
Women in the Presbyterian Church,women in the presbyterian church,1986,W
Women in the professions,women in the professions,1986,W
Women in television broadcasting,women in television broadcasting,1986,W
Women in the theater,women in the theater,1986,W
Women in the Tripiṭaka,women in the tripiṭaka,1986,W
Women labor union members,women labor union members,2001,W
Women information scientists,women information scientists,1986,W
Women intellectuals,women intellectuals,1986,W
Women iron and steel workers,women iron and steel workers,1986,W
Women jazz musicians,women jazz musicians,1986,W
Women jockeys,women jockeys,1986,W
Women journalists,women journalists,1986,W
Women judges,women judges,1986,W
Women kindergarten teachers,women kindergarten teachers,1986,W
Women landscape architects,women landscape architects,1986,W
Women law students,women law students,1986,W
Women lawyers,women lawyers,1986,W
Women legislators,women legislators,1986,W
Women librarians,women librarians,1986,W
Women mathematicians,women mathematicians,1986,W
Women medical scientists,women medical scientists,1986,W
Women medical students,women medical students,1986,W
Women middle managers,women middle managers,1986,W
Women miners,women miners,1986,W
Women missionaries,women missionaries,1986,W
Women molecular biologists,women molecular biologists,1986,W
Women film critics,women film critics,1986,W
Women motion picture producers and directors,women motion picture producers and directors,2000,W
Women motorcyclists,women motorcyclists,1986,W
Women mountaineers,women mountaineers,1986,W
Women museum curators,women museum curators,1986,W
Women musicians,women musicians,1986,W
Women mystics,women mystics,2000,W
Women naturalists,women naturalists,1986,W
Women novelists,women novelists,1986,W
"Women novelists, American",american women novelists,1986,W
"Women novelists, English",english women novelists,1986,W
"Women novelists, French-Canadian",french canadian women novelists,1986,W
"Women novelists, Spanish",spanish women novelists,1986,W
Women-owned architectural firms,women owned architectural firms,1986,W
Women-owned business enterprises,women owned business enterprises,1986,W
Women-owned engineering firms,women owned engineering firms,1986,W
Women painters,women painters,1986,W
Women philanthropists,women philanthropists,2000,W
Women philosophers,women philosophers,1986,W
Women photographers,women photographers,1986,W
Women physicians,women physicians,1986,W
Women physicists,women physicists,2003,W
Women physiologists,women physiologists,1986,W
Women pioneers,women pioneers,1986,W
Women plantation owners,women plantation owners,1986,W
Women poets,women poets,1986,W
"Women poets, Arab",arab women poets,1986,W
"Women poets, Chinese",chinese women poets,1986,W
"Women poets, Japanese",japanese women poets,1986,W
Women political prisoners,women political prisoners,1986,W
Women potters,women potters,1986,W
Women priests,women priests,1986,W
Women prime ministers,women prime ministers,2000,W
Women printers,women printers,1986,W
Women prisoners,women prisoners,1986,W
Women psychoanalysts,women psychoanalysts,1986,W
Women psychologists,women psychologists,1986,W
Women psychotherapists,women psychotherapists,1986,W
Women publishers,women publishers,1986,W
Women railroad employees,women railroad employees,2003,W
Women refugees,women refugees,1986,W
Women revolutionaries,women revolutionaries,1986,W
Women rice workers,women rice workers,1986,W
Women rubber industry workers,women rubber industry workers,1986,W
Women rug and carpet industry workers,women rug and carpet industry workers,1986,W
Women sales personnel,women sales personnel,1986,W
Women scholars,women scholars,1986,W
Women school administrators,women school administrators,1986,W
Women scientists,women scientists,1986,W
Women sculptors,women sculptors,1986,W
Women seminarians,women seminarians,1986,W
Women singers,women singers,1986,W
Women skaters,women skaters,1986,W
Enslaved women,enslaved women,2004,W
Women social reformers,women social reformers,1986,W
Women social scientists,women social scientists,2006,W
Women social workers,women social workers,1986,W
Women soldiers,women soldiers,1986,W
Women spies,women spies,1986,W
Women statisticians,women statisticians,1986,W
Women supervisors,women supervisors,1986,W
Women surgeons,women surgeons,1986,W
Women teachers,women teachers,1986,W
Women television personalities,women television personalities,1986,W
Women tennis players,women tennis players,1986,W
Women terrorists,women terrorists,1986,W
Women textile workers,women textile workers,1986,W
Women tobacco workers,women tobacco workers,1986,W
Women track and field athletes,women track and field athletes,1986,W
Women travelers,women travelers,1986,W
Women truck drivers,women truck drivers,2000,W
Women veterans,women veterans,1986,W
Women veterinarians,women veterinarians,1986,W
Women veterinary students,women veterinary students,2000,W
Women volunteers in social service,women volunteers in social service,1986,W
Women welders,women welders,1986,W
Women white collar workers,women white collar workers,1986,W
Women wrestlers,women wrestlers,1986,W
Women's clothing industry,women 's clothing industry,2003,W
Women's colleges,women 's colleges,1986,W
Women's dreams,women 's dreams,1986,W
Women's encyclopedias and dictionaries,women 's encyclopedias and dictionaries,1986,W
"Women's encyclopedias and dictionaries, Chinese",chinese women 's encyclopedias and dictionaries,1986,W
"Women's encyclopedias and dictionaries, Japanese",japanese women 's encyclopedias and dictionaries,1986,W
Women's exchanges,women 's exchanges,1986,W
Women's health services,women 's health services,1986,W
Women's institutes,women 's institutes,1986,W
Women's mass media,women 's mass media,1986,W
Women's periodicals,women 's periodicals,1986,W
"Women's periodicals, American",american women 's periodicals,1986,W
"Women's periodicals, Brazilian",brazilian women 's periodicals,1986,W
"Women's periodicals, Catalan",catalan women 's periodicals,1986,W
"Women's periodicals, English",english women 's periodicals,1986,W
"Women's periodicals, European",european women 's periodicals,1986,W
"Women's periodicals, French",french women 's periodicals,1986,W
"Women's periodicals, French-Canadian",french canadian women 's periodicals,1986,W
"Women's periodicals, German",german women 's periodicals,1986,W
"Women's periodicals, Polish",polish women 's periodicals,1986,W
"Women's periodicals, Japanese",japanese women 's periodicals,1986,W
"Women's periodicals, Korean",korean women 's periodicals,1986,W
"Women's periodicals, Mexican",mexican women 's periodicals,1986,W
"Women's periodicals, Spanish",spanish women 's periodicals,1986,W
"Women's periodicals, Swedish",swedish women 's periodicals,1986,W
Women's rights,women 's rights,2000,W
Women's studies,women 's studies,1986,W
Working class women,working class women,1986,W
Working-men's clubs,working men 's clubs,1986,M
Working-men's gardens,working men 's gardens,1986,M
Working-women's clubs,working women 's clubs,1986,W
Young men,young men,1986,M
Young male authors,young male authors,1986,M
Young Men's Christian associations,young men 's christian associations,1986,M
Young Men's Hebrew associations,young men 's hebrew associations,2000,M
Young women,young women,1986,W
Young Women's Christian associations,young women 's christian associations,1986,W
Women metal-workers,women metal workers,1986,W
Women pirates,women pirates,1986,W
Gifted women,gifted women,1986,W
Women outlaws,women outlaws,1986,W
Women in development,women in development,1986,W
Women psychiatrists,women psychiatrists,1986,W
"Women, Nuer",nuer women,1986,W
Women sugar workers,women sugar workers,1986,W
Abused women,abused women,1986,W
Church work with abused women,church work with abused women,1986,W
"Women dramatists, English",english women dramatists,1986,W
Inter-male aggression,inter male aggression,1986,M
"Women authors, Urdu",urdu women authors,1986,W
Women conservationists,women conservationists,1986,W
Architecture and women,architecture and women,1986,W
Women mushers,women mushers,1986,W
"Women authors, European",european women authors,1986,W
African American women artists,african american women artists,2000,W
Women merchant mariners,women merchant mariners,1986,W
"International Women's Decade, 1976-1985",1976 1985 international women 's decade,1986,W
"Women authors, Portuguese",portuguese women authors,1986,W
African American women poets,african american women poets,2000,W
"Women poets, American",american women poets,1986,W
Motion pictures for women,motion pictures for women,1986,W
Sex instruction for gay men,sex instruction for gay men,1986,M
Male contraception,male contraception,1986,M
Male contraceptives,male contraceptives,1986,M
"Women, Celtic",celtic women,1986,W
"Women, Nisi",nisi women,1986,W
"Women, Tamil",tamil women,1986,W
Male actors,male actors,2005,M
Women city planners,women city planners,1986,W
Women palm oil industry workers,women palm oil industry workers,1986,W
Women merchants,women merchants,1986,W
Women lace makers,women lace makers,1986,W
Women Buddhist priests,women buddhist priests,1986,W
Men's studies,men 's studies,1986,M
Women chess players,women chess players,1986,W
Women golfers,women golfers,1986,W
Women oil industry workers,women oil industry workers,1986,W
Women apprentices,women apprentices,1986,W
Women in the Uniting Church in Australia,women in the uniting church in australia,1986,W
Women loggers,women loggers,1986,W
"Women authors, Spanish American",spanish american women authors,1986,W
Cycling for women,cycling for women,1987,W
Middle class men,middle class men,1987,M
"Women, Zulu",zulu women,1987,W
"Women, Kuria",kuria women,1987,W
African American women diplomats,african american women diplomats,2000,W
"Women novelists, Norwegian",norwegian women novelists,1987,W
"Women authors, Norwegian",norwegian women authors,1987,W
"Women poets, Spanish American",spanish american women poets,1987,W
"Women authors, Lithuanian",lithuanian women authors,1987,W
Women's television programs,women 's television programs,1987,W
Women international relations specialists,women international relations specialists,1987,W
Women pharmaceutical industry workers,women pharmaceutical industry workers,1987,W
"Women authors, Danish",danish women authors,1987,W
"Women, Zaramo",zaramo women,1987,W
Women communists,women communists,1987,W
"Women authors, Korean",korean women authors,1987,W
Male sterility in plants,male sterility in plants,1987,M
Women's shelters,women 's shelters,1987,W
Christian women,christian women,1987,W
Women offshore assembly industry workers,women offshore assembly industry workers,1987,W
Male weavers,male weavers,1987,M
Bahai women,bahai women,1987,W
Women in the Bahai Faith,women in the bahai faith,1987,W
Women in social work education,women in social work education,1987,W
Women cooks,women cooks,2000,W
Television and women,television and women,1987,W
Women bridge players,women bridge players,1987,W
Women costume designers,women costume designers,1987,W
Weight training for women,weight training for women,1987,W
"Women authors, Swiss",swiss women authors,1987,W
"Women authors, Australian",australian women authors,1987,W
Women textile designers,women textile designers,1987,W
Women in combat,women in combat,1987,W
Women coffee plantation workers,women coffee plantation workers,1987,W
Women salt workers,women salt workers,1987,W
Women in the Anglican Communion,women in the anglican communion,1987,W
Jewish men,jewish men,1987,M
Women television producers and directors,women television producers and directors,1987,W
Women chemists,women chemists,2000,W
African American women chemists,african american women chemists,2000,W
Women mayors,women mayors,2000,W
Danish American women,danish american women,1988,W
Men in mass media,men in mass media,1988,M
Legal assistance to women,legal assistance to women,1988,W
"Women, Muria",muria women,1988,W
Women foreign workers,women foreign workers,2005,W
Women ranchers,women ranchers,1988,W
"Women, Bhil",bhil women,1988,W
"Women, Swahili-speaking",swahili speaking women,1988,W
Women county council members,women county council members,1988,W
Women archivists,women archivists,1988,W
Women city council members,women city council members,1988,W
Women civic leaders,women civic leaders,1988,W
Women tailors,women tailors,2001,W
Women conscientious objectors,women conscientious objectors,1988,W
"Women, Lao",lao women,1988,W
Women art patrons,women art patrons,2000,W
Women civil rights workers,women civil rights workers,1988,W
Women astronomers,women astronomers,2000,W
Norwegian American women,norwegian american women,1988,W
Women genealogists,women genealogists,1988,W
